        time         r95a         best         r95b
      -430.0        -5.57        -5.57        -5.57
      -429.9        -5.47        -5.47        -5.47
      -429.8        -5.33        -5.33        -5.33
      -429.7        -5.16        -5.16        -5.16
      -429.6        -4.97        -4.97        -4.97
      -429.5        -4.76        -4.76        -4.76
      -429.4        -4.55        -4.55        -4.55
      -429.3        -4.34        -4.34        -4.34
      -429.2        -4.15        -4.15        -4.15
      -429.1        -3.98        -3.98        -3.98
      -429.0        -3.84        -3.84        -3.84
      -428.9        -3.73        -3.73        -3.73
      -428.8        -3.66        -3.66        -3.66
      -428.7        -3.62        -3.62        -3.62
      -428.6        -3.60        -3.60        -3.60
      -428.5        -3.60        -3.60        -3.60
      -428.4        -3.61        -3.61        -3.61
      -428.3        -3.63        -3.63        -3.63
      -428.2        -3.65        -3.65        -3.65
      -428.1        -3.66        -3.66        -3.66
      -428.0        -3.67        -3.67        -3.67
      -427.9        -3.67        -3.67        -3.67
      -427.8        -3.65        -3.65        -3.65
      -427.7        -3.62        -3.62        -3.62
      -427.6        -3.58        -3.58        -3.58
      -427.5        -3.54        -3.54        -3.54
      -427.4        -3.49        -3.49        -3.49
      -427.3        -3.43        -3.43        -3.43
      -427.2        -3.37        -3.37        -3.37
      -427.1        -3.31        -3.31        -3.31
      -427.0        -3.25        -3.25        -3.25
      -426.9        -3.19        -3.19        -3.19
      -426.8        -3.13        -3.13        -3.13
      -426.7        -3.07        -3.07        -3.07
      -426.6        -3.02        -3.02        -3.02
      -426.5        -2.97        -2.97        -2.97
      -426.4        -2.93        -2.93        -2.93
      -426.3        -2.90        -2.90        -2.90
      -426.2        -2.88        -2.88        -2.88
      -426.1        -2.87        -2.87        -2.87
      -426.0        -2.87        -2.87        -2.87
      -425.9        -2.88        -2.88        -2.88
      -425.8        -2.90        -2.90        -2.90
      -425.7        -2.93        -2.93        -2.93
      -425.6        -2.96        -2.96        -2.96
      -425.5        -2.99        -2.99        -2.99
      -425.4        -3.01        -3.01        -3.01
      -425.3        -3.03        -3.03        -3.03
      -425.2        -3.03        -3.03        -3.03
      -425.1        -3.02        -3.02        -3.02
      -425.0        -2.99        -2.99        -2.99
      -424.9        -2.94        -2.94        -2.94
      -424.8        -2.87        -2.87        -2.87
      -424.7        -2.79        -2.79        -2.79
      -424.6        -2.69        -2.69        -2.69
      -424.5        -2.59        -2.59        -2.59
      -424.4        -2.49        -2.49        -2.49
      -424.3        -2.39        -2.39        -2.39
      -424.2        -2.29        -2.29        -2.29
      -424.1        -2.21        -2.21        -2.21
      -424.0        -2.13        -2.13        -2.13
      -423.9        -2.07        -2.07        -2.07
      -423.8        -2.03        -2.02        -2.01
