        time         r95a         best         r95b
      -430.0         0.03         0.15         0.37
      -429.9         0.03         0.15         0.37
      -429.8         0.03         0.15         0.37
      -429.7         0.02         0.15         0.37
      -429.6         0.02         0.14         0.36
      -429.5         0.02         0.14         0.35
      -429.4         0.01         0.13         0.35
      -429.3         0.00         0.13         0.34
      -429.2        -0.01         0.12         0.33
      -429.1        -0.02         0.11         0.32
      -429.0        -0.02         0.10         0.31
      -428.9        -0.03         0.09         0.30
      -428.8        -0.04         0.09         0.29
      -428.7        -0.05         0.08         0.28
      -428.6        -0.05         0.07         0.27
      -428.5        -0.06         0.06         0.26
      -428.4        -0.06         0.06         0.25
      -428.3        -0.07         0.05         0.24
      -428.2        -0.07         0.05         0.24
      -428.1        -0.08         0.04         0.24
      -428.0        -0.08         0.04         0.24
      -427.9        -0.09         0.04         0.23
      -427.8        -0.08         0.03         0.22
      -427.7        -0.09         0.03         0.22
      -427.6        -0.09         0.03         0.22
      -427.5        -0.10         0.03         0.22
      -427.4        -0.09         0.03         0.21
      -427.3        -0.10         0.02         0.21
      -427.2        -0.10         0.02         0.20
      -427.1        -0.10         0.02         0.20
      -427.0        -0.10         0.02         0.20
      -426.9        -0.10         0.02         0.19
      -426.8        -0.11         0.01         0.19
      -426.7        -0.11         0.00         0.19
      -426.6        -0.11         0.00         0.18
      -426.5        -0.11         0.00         0.18
      -426.4        -0.11         0.00         0.18
      -426.3        -0.11         0.00         0.17
      -426.2        -0.11        -0.01         0.16
      -426.1        -0.11        -0.01         0.16
      -426.0        -0.12        -0.01         0.16
      -425.9        -0.12        -0.01         0.16
      -425.8        -0.12        -0.01         0.16
      -425.7        -0.12        -0.01         0.15
      -425.6        -0.12        -0.02         0.15
      -425.5        -0.12        -0.02         0.15
      -425.4        -0.12        -0.02         0.15
      -425.3        -0.11        -0.02         0.15
      -425.2        -0.11        -0.01         0.15
      -425.1        -0.11        -0.01         0.15
      -425.0        -0.11        -0.01         0.15
      -424.9        -0.11        -0.01         0.15
      -424.8        -0.11        -0.01         0.15
      -424.7        -0.11        -0.01         0.15
      -424.6        -0.11        -0.01         0.15
      -424.5        -0.11        -0.01         0.15
      -424.4        -0.11        -0.01         0.14
      -424.3        -0.11        -0.01         0.14
      -424.2        -0.11        -0.01         0.14
      -424.1        -0.11        -0.01         0.13
      -424.0        -0.11        -0.01         0.13
      -423.9        -0.11        -0.01         0.13
      -423.8        -0.11        -0.01         0.13
      -423.7        -0.11        -0.02         0.13
      -423.6        -0.11        -0.01         0.13
      -423.5        -0.11        -0.01         0.12
      -423.4        -0.11        -0.02         0.12
      -423.3        -0.11        -0.01         0.12
      -423.2        -0.11        -0.01         0.12
      -423.1        -0.11        -0.01         0.12
      -423.0        -0.11        -0.01         0.12
      -422.9        -0.11        -0.01         0.12
      -422.8        -0.10        -0.01         0.12
      -422.7        -0.10        -0.01         0.12
      -422.6        -0.10        -0.01         0.12
      -422.5        -0.10        -0.01         0.12
      -422.4        -0.09        -0.01         0.12
      -422.3        -0.09        -0.01         0.12
      -422.2        -0.09         0.00         0.12
      -422.1        -0.08         0.00         0.12
      -422.0        -0.08         0.00         0.12
      -421.9        -0.08         0.00         0.12
      -421.8        -0.08         0.00         0.12
      -421.7        -0.08         0.01         0.12
      -421.6        -0.07         0.01         0.12
      -421.5        -0.07         0.01         0.12
      -421.4        -0.07         0.01         0.12
      -421.3        -0.06         0.01         0.12
