        time         r95a         best         r95b
      -430.0        -0.03        -0.03        -0.02
      -429.9        -0.06        -0.02         0.06
      -429.8        -0.10         0.01         0.07
      -429.7        -0.08        -0.01         0.05
      -429.6        -0.08        -0.08         0.06
      -429.5        -0.10        -0.06         0.01
      -429.4        -0.13        -0.06         0.01
      -429.3        -0.15        -0.03         0.00
      -429.2        -0.14        -0.08         0.01
      -429.1        -0.14        -0.11        -0.01
      -429.0        -0.14        -0.12         0.00
      -428.9        -0.19        -0.07        -0.01
      -428.8        -0.15        -0.04        -0.01
      -428.7        -0.16        -0.03        -0.01
      -428.6        -0.15        -0.11        -0.01
      -428.5        -0.13        -0.09         0.01
      -428.4        -0.16        -0.07         0.01
      -428.3        -0.13        -0.02         0.05
      -428.2        -0.12        -0.07         0.03
      -428.1        -0.10        -0.05         0.04
      -428.0        -0.09        -0.01         0.04
      -427.9        -0.11        -0.04         0.02
      -427.8        -0.09        -0.04         0.06
      -427.7        -0.08        -0.03         0.07
      -427.6        -0.09         0.01         0.04
      -427.5        -0.09        -0.03         0.04
      -427.4        -0.09        -0.03         0.05
      -427.3        -0.08        -0.05         0.06
      -427.2        -0.12        -0.04         0.06
      -427.1        -0.10        -0.01         0.03
      -427.0        -0.09         0.05         0.08
      -426.9        -0.09        -0.03         0.05
      -426.8        -0.11        -0.11         0.07
      -426.7        -0.07        -0.03         0.06
      -426.6        -0.09        -0.01         0.05
      -426.5        -0.08         0.01         0.05
      -426.4        -0.07        -0.04         0.06
      -426.3        -0.08        -0.04         0.06
      -426.2        -0.07        -0.03         0.08
      -426.1        -0.06         0.00         0.05
      -426.0        -0.06        -0.01         0.04
      -425.9        -0.08        -0.03         0.08
      -425.8        -0.08        -0.01         0.09
      -425.7        -0.08         0.01         0.05
      -425.6        -0.06        -0.04         0.06
      -425.5        -0.05         0.00         0.08
      -425.4        -0.05        -0.02         0.07
      -425.3        -0.05         0.00         0.06
      -425.2        -0.04         0.03         0.09
      -425.1        -0.05         0.01         0.07
      -425.0        -0.05         0.04         0.07
      -424.9        -0.05        -0.03         0.08
      -424.8        -0.05         0.01         0.07
      -424.7        -0.06         0.00         0.09
      -424.6        -0.05         0.03         0.06
      -424.5        -0.06        -0.02         0.06
      -424.4        -0.06        -0.03         0.06
      -424.3        -0.07         0.01         0.10
      -424.2        -0.08         0.02         0.05
      -424.1        -0.07        -0.03         0.05
      -424.0        -0.06         0.00         0.05
      -423.9        -0.06         0.00         0.06
      -423.8        -0.05        -0.01         0.04
      -423.7        -0.05        -0.01         0.07
      -423.6        -0.05         0.00         0.05
      -423.5        -0.06         0.01         0.08
      -423.4        -0.05        -0.02         0.07
      -423.3        -0.05         0.01         0.07
      -423.2        -0.03         0.02         0.08
      -423.1        -0.04         0.00         0.07
      -423.0        -0.03        -0.01         0.06
      -422.9        -0.03         0.03         0.07
      -422.8        -0.04         0.02         0.07
      -422.7        -0.03         0.00         0.06
      -422.6        -0.04         0.00         0.05
      -422.5        -0.03         0.01         0.10
      -422.4        -0.03         0.01         0.06
      -422.3        -0.04         0.00         0.05
      -422.2        -0.03         0.03         0.05
      -422.1        -0.04        -0.01         0.07
      -422.0        -0.03         0.03         0.07
      -421.9        -0.02         0.01         0.06
      -421.8        -0.06         0.03         0.06
      -421.7        -0.03         0.03         0.05
      -421.6        -0.03         0.01         0.08
      -421.5        -0.01         0.03         0.08
      -421.4        -0.03         0.04         0.07
      -421.3        -0.02         0.02         0.08
      -421.2        -0.03         0.03         0.08
      -421.1        -0.01         0.00         0.08
      -421.0         0.00         0.05         0.07
      -420.9         0.00         0.05         0.08
      -420.8         0.00         0.06         0.09
      -420.7         0.01         0.02         0.11
      -420.6         0.01         0.03         0.08
      -420.5         0.00         0.07         0.09
      -420.4         0.00         0.06         0.09
      -420.3         0.01         0.04         0.10
      -420.2         0.01         0.03         0.09
      -420.1         0.02         0.04         0.09
      -420.0         0.01         0.04         0.09
      -419.9         0.00         0.07         0.09
      -419.8         0.01         0.05         0.08
      -419.7         0.01         0.04         0.09
      -419.6         0.02         0.02         0.08
      -419.5         0.01         0.08         0.08
      -419.4         0.01         0.03         0.09
      -419.3         0.00         0.01         0.08
      -419.2         0.01         0.06         0.11
      -419.1         0.01         0.05         0.08
      -419.0         0.00         0.03         0.09
      -418.9         0.01         0.04         0.08
      -418.8         0.01         0.05         0.08
      -418.7         0.00         0.04         0.10
      -418.6         0.02         0.07         0.11
      -418.5         0.01         0.04         0.11
      -418.4         0.01         0.04         0.10
      -418.3         0.03         0.06         0.09
      -418.2         0.03         0.09         0.11
      -418.1         0.02         0.05         0.11
      -418.0         0.03         0.07         0.10
      -417.9         0.03         0.07         0.11
      -417.8         0.03         0.07         0.11
      -417.7         0.03         0.08         0.10
      -417.6         0.03         0.06         0.12
      -417.5         0.03         0.06         0.11
      -417.4         0.04         0.09         0.12
      -417.3         0.04         0.10         0.12
      -417.2         0.04         0.06         0.13
      -417.1         0.04         0.07         0.13
      -417.0         0.05         0.11         0.13
      -416.9         0.06         0.11         0.15
      -416.8         0.05         0.08         0.15
      -416.7         0.06         0.11         0.14
      -416.6         0.05         0.14         0.16
      -416.5         0.06         0.11         0.17
      -416.4         0.07         0.12         0.18
      -416.3         0.08         0.13         0.19
      -416.2         0.09         0.17         0.21
      -416.1         0.10         0.15         0.20
      -416.0         0.09         0.16         0.21
      -415.9         0.11         0.19         0.22
      -415.8         0.12         0.18         0.24
      -415.7         0.10         0.18         0.25
      -415.6         0.12         0.19         0.25
      -415.5         0.13         0.20         0.26
      -415.4         0.12         0.20         0.27
      -415.3         0.12         0.22         0.27
      -415.2         0.12         0.23         0.27
      -415.1         0.12         0.22         0.28
      -415.0         0.12         0.22         0.28
      -414.9         0.13         0.23         0.29
      -414.8         0.13         0.23         0.30
      -414.7         0.12         0.25         0.29
      -414.6         0.14         0.24         0.31
      -414.5         0.14         0.24         0.31
      -414.4         0.14         0.26         0.32
      -414.3         0.15         0.27         0.34
      -414.2         0.16         0.25         0.33
      -414.1         0.15         0.28         0.35
      -414.0         0.15         0.30         0.35
      -413.9         0.17         0.28         0.36
      -413.8         0.16         0.31         0.37
      -413.7         0.17         0.30         0.40
      -413.6         0.18         0.30         0.41
      -413.5         0.18         0.36         0.41
      -413.4         0.19         0.35         0.44
      -413.3         0.20         0.36         0.46
      -413.2         0.19         0.38         0.46
      -413.1         0.20         0.39         0.47
      -413.0         0.22         0.41         0.49
      -412.9         0.21         0.41         0.50
      -412.8         0.22         0.43         0.52
      -412.7         0.24         0.45         0.55
      -412.6         0.23         0.45         0.58
      -412.5         0.25         0.48         0.57
      -412.4         0.28         0.50         0.61
      -412.3         0.27         0.48         0.64
      -412.2         0.28         0.52         0.65
      -412.1         0.28         0.57         0.68
      -412.0         0.29         0.57         0.69
      -411.9         0.32         0.60         0.72
      -411.8         0.31         0.61         0.75
      -411.7         0.31         0.62         0.77
      -411.6         0.33         0.66         0.78
      -411.5         0.34         0.67         0.79
      -411.4         0.34         0.70         0.80
      -411.3         0.36         0.71         0.80
      -411.2         0.34         0.72         0.78
      -411.1         0.37         0.75         0.79
      -411.0         0.37         0.73         0.80
      -410.9         0.36         0.74         0.81
      -410.8         0.38         0.73         0.79
      -410.7         0.38         0.72         0.78
      -410.6         0.37         0.74         0.82
      -410.5         0.40         0.72         0.82
      -410.4         0.39         0.72         0.81
      -410.3         0.40         0.73         0.81
      -410.2         0.43         0.73         0.81
      -410.1         0.41         0.75         0.83
      -410.0         0.44         0.73         0.83
      -409.9         0.44         0.73         0.82
      -409.8         0.43         0.74         0.82
      -409.7         0.45         0.71         0.82
      -409.6         0.44         0.73         0.83
      -409.5         0.44         0.73         0.84
      -409.4         0.47         0.71         0.84
      -409.3         0.44         0.72         0.86
      -409.2         0.45         0.69         0.83
      -409.1         0.47         0.70         0.82
      -409.0         0.45         0.72         0.82
      -408.9         0.46         0.71         0.77
      -408.8         0.44         0.70         0.77
      -408.7         0.42         0.72         0.76
      -408.6         0.41         0.71         0.74
      -408.5         0.40         0.68         0.72
      -408.4         0.39         0.69         0.73
      -408.3         0.40         0.65         0.71
      -408.2         0.38         0.65         0.69
      -408.1         0.38         0.66         0.68
      -408.0         0.38         0.63         0.66
      -407.9         0.35         0.62         0.66
      -407.8         0.36         0.62         0.66
      -407.7         0.36         0.59         0.64
      -407.6         0.34         0.59         0.65
      -407.5         0.36         0.57         0.63
      -407.4         0.33         0.57         0.65
      -407.3         0.33         0.57         0.64
      -407.2         0.35         0.54         0.62
      -407.1         0.32         0.54         0.64
      -407.0         0.31         0.53         0.62
      -406.9         0.33         0.50         0.60
      -406.8         0.30         0.51         0.58
      -406.7         0.29         0.48         0.58
      -406.6         0.28         0.49         0.56
      -406.5         0.25         0.50         0.54
      -406.4         0.28         0.47         0.52
      -406.3         0.25         0.46         0.52
      -406.2         0.22         0.46         0.50
      -406.1         0.22         0.43         0.47
      -406.0         0.21         0.44         0.46
      -405.9         0.20         0.38         0.44
      -405.8         0.20         0.37         0.42
      -405.7         0.17         0.38         0.40
      -405.6         0.15         0.34         0.39
      -405.5         0.17         0.35         0.38
      -405.4         0.13         0.34         0.36
      -405.3         0.10         0.31         0.33
      -405.2         0.12         0.30         0.33
      -405.1         0.10         0.31         0.32
      -405.0         0.08         0.27         0.29
      -404.9         0.06         0.27         0.29
      -404.8         0.05         0.25         0.28
      -404.7         0.04         0.23         0.26
      -404.6         0.05         0.23         0.24
      -404.5         0.02         0.22         0.24
      -404.4        -0.02         0.19         0.24
      -404.3        -0.02         0.20         0.20
      -404.2        -0.01         0.17         0.19
      -404.1        -0.04         0.15         0.18
      -404.0        -0.06         0.14         0.18
      -403.9        -0.04         0.14         0.18
      -403.8        -0.08         0.11         0.15
      -403.7        -0.11         0.11         0.14
      -403.6        -0.09         0.13         0.13
      -403.5        -0.12         0.08         0.12
      -403.4        -0.13         0.07         0.11
      -403.3        -0.13         0.09         0.09
      -403.2        -0.15         0.04         0.09
      -403.1        -0.15         0.02         0.07
      -403.0        -0.18         0.01         0.06
      -402.9        -0.18         0.03         0.05
      -402.8        -0.19         0.01         0.04
      -402.7        -0.20        -0.01         0.02
      -402.6        -0.20        -0.02         0.02
      -402.5        -0.20        -0.02         0.02
      -402.4        -0.22        -0.02         0.01
      -402.3        -0.25         0.00         0.00
      -402.2        -0.25        -0.05        -0.01
      -402.1        -0.27        -0.05        -0.04
      -402.0        -0.26        -0.07        -0.03
      -401.9        -0.27        -0.09        -0.04
      -401.8        -0.28        -0.07        -0.05
      -401.7        -0.28        -0.09        -0.07
      -401.6        -0.28        -0.08        -0.06
      -401.5        -0.29        -0.12        -0.07
      -401.4        -0.31        -0.11        -0.08
      -401.3        -0.31        -0.12        -0.09
      -401.2        -0.32        -0.11        -0.10
      -401.1        -0.32        -0.16        -0.09
      -401.0        -0.34        -0.16        -0.11
      -400.9        -0.33        -0.13        -0.12
      -400.8        -0.34        -0.15        -0.13
      -400.7        -0.35        -0.13        -0.11
      -400.6        -0.35        -0.16        -0.12
      -400.5        -0.36        -0.19        -0.13
      -400.4        -0.38        -0.19        -0.14
      -400.3        -0.38        -0.17        -0.14
      -400.2        -0.38        -0.20        -0.15
      -400.1        -0.39        -0.16        -0.14
      -400.0        -0.39        -0.21        -0.16
      -399.9        -0.40        -0.20        -0.17
      -399.8        -0.42        -0.21        -0.17
      -399.7        -0.41        -0.19        -0.16
      -399.6        -0.41        -0.21        -0.18
      -399.5        -0.41        -0.25        -0.17
      -399.4        -0.41        -0.21        -0.19
      -399.3        -0.43        -0.24        -0.18
      -399.2        -0.43        -0.24        -0.19
      -399.1        -0.41        -0.25        -0.20
      -399.0        -0.42        -0.23        -0.21
      -398.9        -0.42        -0.27        -0.22
      -398.8        -0.42        -0.23        -0.21
      -398.7        -0.44        -0.23        -0.21
      -398.6        -0.46        -0.28        -0.19
      -398.5        -0.44        -0.28        -0.23
      -398.4        -0.46        -0.26        -0.20
      -398.3        -0.46        -0.28        -0.21
      -398.2        -0.46        -0.30        -0.23
      -398.1        -0.46        -0.30        -0.24
      -398.0        -0.49        -0.27        -0.22
      -397.9        -0.46        -0.32        -0.24
      -397.8        -0.50        -0.30        -0.25
      -397.7        -0.49        -0.29        -0.23
      -397.6        -0.49        -0.35        -0.26
      -397.5        -0.50        -0.34        -0.26
      -397.4        -0.50        -0.34        -0.25
      -397.3        -0.49        -0.34        -0.25
      -397.2        -0.51        -0.38        -0.26
      -397.1        -0.51        -0.38        -0.26
      -397.0        -0.53        -0.39        -0.25
      -396.9        -0.52        -0.36        -0.26
      -396.8        -0.51        -0.37        -0.24
      -396.7        -0.54        -0.39        -0.25
      -396.6        -0.54        -0.43        -0.23
      -396.5        -0.54        -0.38        -0.24
      -396.4        -0.52        -0.39        -0.24
      -396.3        -0.53        -0.39        -0.23
      -396.2        -0.55        -0.42        -0.22
      -396.1        -0.54        -0.37        -0.21
      -396.0        -0.53        -0.42        -0.20
      -395.9        -0.54        -0.41        -0.22
      -395.8        -0.57        -0.39        -0.21
      -395.7        -0.55        -0.37        -0.16
      -395.6        -0.53        -0.40        -0.19
      -395.5        -0.55        -0.42        -0.20
      -395.4        -0.56        -0.41        -0.20
      -395.3        -0.53        -0.39        -0.15
      -395.2        -0.52        -0.36        -0.13
      -395.1        -0.55        -0.42        -0.18
      -395.0        -0.53        -0.43        -0.16
      -394.9        -0.50        -0.42        -0.15
      -394.8        -0.51        -0.39        -0.15
      -394.7        -0.52        -0.36        -0.14
      -394.6        -0.51        -0.38        -0.15
      -394.5        -0.51        -0.43        -0.13
      -394.4        -0.53        -0.36        -0.12
      -394.3        -0.51        -0.39        -0.11
      -394.2        -0.51        -0.38        -0.14
      -394.1        -0.50        -0.44        -0.13
      -394.0        -0.50        -0.39        -0.09
      -393.9        -0.48        -0.37        -0.11
      -393.8        -0.48        -0.38        -0.14
      -393.7        -0.51        -0.39        -0.10
      -393.6        -0.51        -0.38        -0.12
      -393.5        -0.49        -0.36        -0.10
      -393.4        -0.49        -0.38        -0.11
      -393.3        -0.48        -0.36        -0.11
      -393.2        -0.51        -0.34        -0.09
      -393.1        -0.47        -0.34        -0.10
      -393.0        -0.48        -0.37        -0.10
      -392.9        -0.50        -0.37        -0.08
      -392.8        -0.48        -0.33        -0.07
      -392.7        -0.50        -0.36        -0.08
      -392.6        -0.48        -0.33        -0.09
      -392.5        -0.49        -0.36        -0.10
      -392.4        -0.47        -0.34        -0.09
      -392.3        -0.48        -0.35        -0.08
      -392.2        -0.44        -0.30        -0.06
      -392.1        -0.47        -0.34        -0.08
      -392.0        -0.46        -0.36        -0.07
      -391.9        -0.44        -0.35        -0.07
      -391.8        -0.42        -0.33        -0.08
      -391.7        -0.47        -0.38        -0.09
      -391.6        -0.44        -0.35        -0.08
      -391.5        -0.46        -0.32        -0.09
      -391.4        -0.43        -0.32        -0.08
      -391.3        -0.42        -0.34        -0.06
      -391.2        -0.42        -0.31        -0.07
      -391.1        -0.43        -0.34        -0.07
      -391.0        -0.38        -0.38        -0.09
      -390.9        -0.41        -0.34        -0.05
      -390.8        -0.37        -0.32        -0.08
      -390.7        -0.39        -0.30        -0.08
      -390.6        -0.37        -0.34        -0.08
      -390.5        -0.36        -0.32        -0.06
      -390.4        -0.39        -0.31        -0.06
      -390.3        -0.34        -0.31        -0.07
      -390.2        -0.34        -0.30        -0.07
      -390.1        -0.35        -0.25        -0.06
      -390.0        -0.36        -0.27        -0.07
      -389.5        -0.34        -0.27        -0.08
      -389.0        -0.29        -0.23        -0.06
      -388.5        -0.26        -0.19        -0.05
      -388.0        -0.23        -0.19        -0.04
      -387.5        -0.21        -0.17        -0.02
      -387.0        -0.21        -0.15         0.00
      -386.5        -0.19        -0.16         0.00
      -386.0        -0.18        -0.15        -0.01
      -385.5        -0.18        -0.15        -0.02
      -385.0        -0.17        -0.14        -0.02
      -384.5        -0.15        -0.12         0.00
      -384.0        -0.15        -0.12         0.00
      -383.5        -0.14        -0.12         0.00
      -383.0        -0.14        -0.11         0.02
      -382.5        -0.14        -0.12         0.01
      -382.0        -0.15        -0.11         0.00
      -381.5        -0.14        -0.10         0.00
      -381.0        -0.13        -0.10         0.00
      -380.5        -0.13        -0.09         0.01
      -380.0        -0.13        -0.10         0.02
