      metric         best         r95a         r95b        r951a        r951b        r952a        r952b
  dTb_jja_max         2.79         2.09         3.35        2.048         3.37        1.735         3.25
   dT_jja_max         2.79         2.09         3.35        2.048         3.37        1.735         3.25
  dTb_ann_max         1.83         1.37         2.20        1.338         2.22        1.130         2.14
      slr_max         6.14         3.91         7.02        3.378         6.58        3.077         6.52
     dslr_max         0.75         0.52         0.91        0.472         0.86        0.425         0.82
       int_dt        16.10        14.32        17.26       14.000        17.20       13.200        17.00
int_mean_dslr         0.38         0.25         0.43        0.216         0.42        0.191         0.42
int_z_maxrate         2.27         1.95         4.23        2.077         4.07        2.022         4.07
   dye3_H0_dt         9.50         3.66        11.46        2.000        10.40        0.200        10.30
   grip_H0_dt         0.00        -0.40         0.37        0.000         0.00        0.000         0.00
    A_sth_min         0.12         0.05         0.23        0.061         0.25        0.069         0.27
   A_sthp_min        18.90         8.12        37.44        9.966        41.17       11.309        44.44
